no_paths,no_points,width,height,elongation,length,area,roundness,drawing
5,883,339,243,1.3934426229508197,621.7245873311958,21566.0,0.7011055086355105,car
4,596,321,227,1.412280701754386,580.0209366608078,15616.50000000004,0.583319142828788,fish
8,571,287,272,1.054945054945055,579.20908699688,23580.49999999998,0.8832672750733662,house
3,575,263,335,1.2727272727272727,703.8631345373982,32369.50000000003,0.8210496430363077,tree
5,586,283,263,1.0757575757575757,574.1673146121823,21621.000000000007,0.8241546415714276,bicycle
6,1214,320,291,1.0993150684931507,670.459079332344,22697.000000000004,0.634503130237887,guitar
5,527,221,335,1.5135135135135136,585.4103219269203,5931.49999999993,0.2174971885680633,pencil
3,588,313,307,1.0194805194805194,753.9656708043403,43829.999999999956,0.9688982917385982,clock
7,715,337,279,1.207142857142857,647.0348280523579,24858.49999999998,0.7461557100771539,car
3,361,290,238,1.217573221757322,513.0440599669555,13926.499999999798,0.6648788530252904,fish
7,455,297,278,1.0681003584229392,633.4793985251138,26991.500000000015,0.8452241413909507,house
3,520,300,338,1.1262458471760797,846.8039790238744,50830.00000000003,0.8907671521069261,tree
6,500,309,296,1.0437710437710437,672.7536299876348,29567.000000000025,0.8209279188280745,bicycle
6,1034,309,300,1.0299003322259137,700.0231750635088,24169.500000000047,0.6198016014546983,guitar
5,357,288,289,1.0034602076124568,578.0654981554256,8679.499999999998,0.3264002426619925,pencil
4,371,319,298,1.0702341137123745,676.3461585769044,35467.49999999999,0.9743217241546622,clock
5,680,378,342,1.1049562682215743,877.519648782358,53742.99999999996,0.8770373125849245,car
19,447,345,309,1.1161290322580646,705.7964973493499,27050.00000000004,0.6823671888989155,fish
14,219,356,321,1.108695652173913,805.1775546774952,46856.5,0.9082311428602229,house
13,286,347,390,1.1235632183908046,1016.8284761576094,75644.99999999999,0.9193792360149157,tree
23,432,374,356,1.050420168067227,867.9443562875223,51363.0,0.8567941230566533,bicycle
17,348,332,371,1.117117117117117,885.8140414338521,38876.49999999992,0.6226039944697701,guitar
7,161,343,317,1.0817610062893082,758.847568791657,14422.000000000018,0.31472139030950125,pencil
22,410,278,275,1.0108695652173914,632.8865036603157,30604.499999999996,0.9601597222789943,clock
14,283,397,376,1.0557029177718833,903.0544306508455,42008.00000000001,0.647312530143998,guitar
11,211,341,295,1.1554054054054055,735.4636436837802,17963.99999999988,0.41734046187594426,pencil
2,87,327,305,1.0718954248366013,721.3095871620329,40743.49999999999,0.9840672722704447,clock
16,889,374,279,1.3392857142857142,903.3701851954669,54560.99999999998,0.8401574436249286,car
18,725,321,247,1.2983870967741935,572.7548743640788,23052.000000000007,0.8830410378451146,fish
27,957,303,299,1.0133333333333334,793.7766999209903,43632.99999999999,0.87021836556669,house
24,815,362,348,1.0401146131805157,1137.439176180418,89796.00000000003,0.8721887701481503,tree
28,800,352,348,1.011461318051576,875.9711565894668,50726.50000000002,0.8307400526073104,bicycle
9,546,281,346,1.2304964539007093,686.7800824730245,23082.500000000073,0.6149748073720407,guitar
5,326,261,256,1.0194552529182879,420.94286123330767,6597.999999999973,0.4679246000199411,pencil
10,546,352,356,1.0113314447592068,950.4961812916148,70897.00000000006,0.9861363546639409,clock
10,682,343,312,1.099041533546326,729.1707697126146,36563.0,0.8641580599946814,car
7,482,361,306,1.1791530944625408,725.8490093063435,33832.50000000001,0.8069588291746136,fish
13,500,386,313,1.232484076433121,854.8679047994852,50875.49999999997,0.8748236798221444,house
4,336,347,328,1.0577507598784195,1013.6073662391371,76003.00000000009,0.9296106339982425,tree
14,288,323,343,1.0617283950617284,830.5178133920845,49563.49999999991,0.9029712594230562,bicycle
24,778,405,351,1.1534090909090908,1115.4832536319866,62213.00000000018,0.6282968735816482,guitar
11,188,369,321,1.1490683229813665,895.4376817329648,26959.49999999981,0.422523593396091,pencil
12,302,336,335,1.0029761904761905,821.6116745181544,52489.5,0.977122686149578,clock
3,190,320,267,1.1977611940298507,628.3158292680326,26189.0,0.8336289292716308,car
1,208,307,269,1.1407407407407408,657.0542678128866,27756.00000000003,0.807912377540256,fish
3,184,357,303,1.1776315789473684,875.3796622175023,54763.999999999956,0.8980739951483926,house
40,1638,339,370,1.0911764705882352,1153.3458724749444,94412.5000000001,0.8919083509662653,tree
20,633,355,331,1.072289156626506,910.4164921270362,57001.00000000004,0.8641957101672322,bicycle
10,569,295,390,1.320945945945946,926.0700896189267,45730.999999999985,0.670089553114174,guitar
4,241,206,371,1.7971014492753623,714.5765019363328,8273.000000020935,0.20359889975098439,pencil
4,222,311,331,1.064102564102564,828.3975104445096,53069.00000000001,0.971791728139821,clock
4,469,364,295,1.2331081081081081,704.5535584469136,28673.500000000004,0.7258761823964767,car
3,365,365,255,1.4296875,814.6931943620349,40085.5,0.7589427075198732,fish
15,470,373,364,1.0246575342465754,966.9140067122635,66620.50000000004,0.8954514600605021,house
4,363,362,385,1.0633608815426998,1073.1491974754601,80343.50000000006,0.8766785905098098,tree
18,721,350,269,1.3,794.5034819876366,40359.99999999998,0.8034695303126261,bicycle
10,628,401,400,1.0024937655860349,1069.665915322084,67165.99999999999,0.7376715504778201,guitar
7,282,283,377,1.3309859154929577,710.9081661979799,22289.00000000003,0.5542088316561042,pencil
18,316,334,348,1.0417910447761194,890.4048917298197,61674.000000000015,0.9775453313696315,clock
7,695,277,239,1.1583333333333334,446.9911587914669,13043.500000000025,0.8203631429400918,car
3,369,241,248,1.0289256198347108,415.8662595546415,10083.499999999996,0.7326790847411646,fish
11,780,289,247,1.1693548387096775,583.3759217959166,22637.000000000015,0.8358565202831874,house
2,446,297,272,1.0915750915750915,670.2761569924513,31373.499999999956,0.8775367092057536,tree
17,502,229,241,1.0521739130434782,292.12904119543475,5861.5,0.8631159986857369,bicycle
12,1260,389,263,1.4772727272727273,769.750146699697,35335.5,0.7494135553608476,guitar
6,235,253,173,1.4597701149425288,249.2977543585827,2757.499999999991,0.5575562034834364,pencil
8,477,316,254,1.2431372549019608,584.8106187690757,26321.499999999993,0.9671414560982444,clock
17,291,247,213,1.158878504672897,452.3702985361923,10070.00000000002,0.6183739265939454,car
12,176,263,257,1.0232558139534884,570.2035642703862,15350.499999999985,0.5932975222172006,fish
11,153,285,291,1.020979020979021,653.0091473747674,29673.999999999964,0.8744750571540978,house
3,168,293,340,1.1598639455782314,674.4675678345665,29780.999999999978,0.8226725342819111,tree
20,285,354,247,1.4314516129032258,728.3620935114382,34217.999999999985,0.8105313456228801,bicycle
12,256,286,394,1.3763066202090593,862.6869461729206,41977.99999999993,0.7088023588595057,guitar
14,140,210,286,1.3601895734597156,513.4845380439835,5694.999999999966,0.27142437781828344,pencil
3,104,339,281,1.2056737588652482,726.4419341479389,41458.99999999998,0.9872493910176968,clock
3,391,244,162,1.5030674846625767,399.1716236219932,11109.499999999996,0.8761632968322657,car
1,278,254,196,1.2944162436548223,434.61615820900005,11076.999999999984,0.7369198968934743,fish
7,623,233,208,1.1196172248803828,451.6149202296334,14211.999999999998,0.8756458623214967,house
3,263,220,265,1.2036199095022624,385.48908352905687,10624.5,0.8984505872481389,tree
9,411,225,235,1.0442477876106195,464.30163968689783,15267.499999999996,0.8899740793356744,bicycle
7,478,356,189,1.8789473684210527,596.575519378108,16210.50000000001,0.5723680966427755,guitar
2,234,214,252,1.1767441860465115,367.9522236655376,5906.999999999999,0.5482693538247985,pencil
7,190,281,213,1.3177570093457944,399.8081054562548,12244.000000000004,0.9625648444406949,clock
15,1402,363,257,1.4108527131782946,849.5742572038284,46535.5,0.810198732922066,car
13,746,311,204,1.5219512195121951,589.258030784411,18469.999999999985,0.6684450926734133,fish
39,1712,378,336,1.1246290801186944,1184.280341658667,90310.9999999998,0.8091731705115304,house
11,713,319,301,1.0596026490066226,971.7304489067212,69173.49999999997,0.9205724880320151,tree
