no_paths,no_points,width,height,drawing
5,883,258,90,car
4,596,241,70,fish
8,571,169,94,house
3,575,163,181,tree
5,586,128,70,bicycle
6,1214,205,173,guitar
5,527,95,233,pencil
3,588,237,220,clock
7,715,255,95,car
3,361,206,76,fish
7,455,188,108,house
3,520,234,199,tree
6,500,168,78,bicycle
6,1034,192,176,guitar
5,357,168,202,pencil
4,371,204,203,clock
5,680,329,162,car
19,447,234,230,fish
14,219,181,174,house
13,286,273,204,tree
23,432,179,109,bicycle
17,348,202,197,guitar
7,161,220,234,pencil
22,410,182,205,clock
14,283,243,295,guitar
11,211,187,181,pencil
2,87,234,234,clock
16,889,330,202,car
18,725,195,128,fish
27,957,213,241,house
24,815,282,157,tree
28,800,123,148,bicycle
9,546,149,167,guitar
5,326,88,118,pencil
10,546,289,315,clock
10,682,252,127,car
7,482,253,135,fish
13,500,282,101,house
4,336,330,214,tree
14,288,178,133,bicycle
24,778,212,219,guitar
11,188,239,182,pencil
12,302,256,269,clock
3,190,226,139,car
1,208,231,146,fish
3,184,255,246,house
40,1638,94,300,tree
20,633,159,128,bicycle
10,569,168,325,guitar
4,241,30,305,pencil
4,222,242,284,clock
4,469,298,98,car
3,365,318,146,fish
15,470,319,129,house
4,363,268,198,tree
18,721,196,130,bicycle
10,628,267,290,guitar
7,282,96,230,pencil
18,316,268,304,clock
7,695,171,81,car
3,369,144,95,fish
11,780,156,114,house
2,446,198,217,tree
17,502,61,36,bicycle
12,1260,272,229,guitar
6,235,62,36,pencil
8,477,186,166,clock
17,291,185,52,car
12,176,161,68,fish
11,153,175,137,house
3,168,192,160,tree
20,285,181,90,bicycle
12,256,94,197,guitar
14,140,50,218,pencil
3,104,237,226,clock
3,391,144,70,car
1,278,150,96,fish
7,623,135,126,house
3,263,107,94,tree
9,411,73,72,bicycle
7,478,137,76,guitar
2,234,41,164,pencil
7,190,130,120,clock
15,1402,330,148,car
13,746,235,115,fish
39,1712,355,125,house
11,713,296,190,tree
21,1421,121,98,bicycle
15,980,266,181,guitar
12,701,150,167,pencil
22,1267,194,170,clock
6,378,260,102,car
4,361,214,132,fish
8,393,381,349,house
3,123,209,205,tree
9,241,331,180,bicycle
9,267,151,203,guitar
2,220,49,220,pencil
3,101,178,223,clock
15,1355,190,76,car
5,129,269,63,fish
12,378,296,192,house
4,306,257,172,tree
10,613,84,84,bicycle
16,861,264,223,guitar
5,213,168,157,pencil
30,1794,187,186,clock
5,320,141,166,fish
23,1286,149,166,house
3,232,263,271,tree
7,275,167,122,bicycle
5,628,293,333,guitar
8,238,157,228,pencil
4,228,270,277,clock
7,302,293,154,car
7,297,314,200,house
3,116,276,274,tree
7,103,82,75,bicycle
1,159,290,198,guitar
4,45,139,161,clock
7,632,344,129,car
6,268,284,75,fish
13,400,172,283,house
3,163,183,197,tree
8,181,102,67,bicycle
4,285,183,90,guitar
3,119,255,90,pencil
3,119,187,177,clock
5,390,164,76,car
5,325,89,55,fish
6,534,113,93,house
4,401,200,155,tree
4,374,165,77,bicycle
15,968,52,126,guitar
14,1003,57,178,pencil
8,495,292,297,clock
10,1249,328,168,car
9,802,208,57,fish
6,421,146,126,house
4,342,389,169,tree
7,740,156,129,bicycle
6,695,305,131,guitar
4,632,238,134,pencil
2,314,200,213,clock
10,814,194,38,car
16,567,140,58,fish
15,727,179,100,house
5,593,189,138,tree
11,610,98,49,bicycle
19,1146,52,151,guitar
6,238,77,58,pencil
4,322,142,145,clock
6,659,198,101,car
12,960,187,107,fish
15,998,135,106,house
6,618,170,129,tree
7,434,98,50,bicycle
5,502,80,52,guitar
2,330,18,155,pencil
8,690,323,126,car
10,492,200,101,fish
19,487,136,94,house
5,444,292,211,tree
23,848,115,121,bicycle
17,594,148,157,guitar
12,448,153,177,pencil
13,443,264,290,clock
13,762,371,190,car
9,428,252,163,fish
13,848,277,166,house
3,204,291,250,tree
6,312,230,119,bicycle
8,419,215,213,guitar
10,373,207,259,pencil
8,228,239,243,clock
17,765,334,167,car
52,378,288,208,fish
14,538,291,208,house
11,345,233,208,tree
13,301,137,173,bicycle
17,564,341,277,guitar
14,306,252,283,pencil
12,236,302,292,clock
17,885,191,130,car
7,430,294,117,fish
6,415,330,128,house
11,1002,99,221,tree
6,369,177,169,bicycle
7,319,292,356,clock
3,884,302,99,car
4,407,262,116,fish
8,931,172,123,house
10,634,387,202,tree
8,732,138,94,bicycle
10,1248,180,212,guitar
5,797,196,218,pencil
3,261,228,243,clock
4,487,318,148,car
3,234,268,105,fish
6,306,286,112,house
2,611,294,237,tree
11,479,124,88,bicycle
4,314,219,252,guitar
11,259,157,220,pencil
6,222,173,167,clock
4,649,120,85,car
3,321,91,43,fish
12,796,126,81,house
20,908,134,55,bicycle
19,1282,95,294,guitar
7,402,34,141,pencil
17,775,162,116,clock
1,579,205,158,car
2,338,182,96,fish
4,532,163,235,house
1,479,263,340,tree
6,429,151,66,bicycle
5,772,131,326,guitar
1,204,102,199,pencil
9,624,242,255,clock
5,762,227,95,car
3,675,179,115,fish
7,528,184,94,house
3,443,203,162,tree
15,876,75,68,bicycle
